Date,County,County_Code,HPI_AllTransactions,Civilian_Labor_Force,Poverty_All_Ages,Active_Listings,Median_Listing_Price,Permits_Annual,Real_GDP,Population_Annual,Unemployed_Persons,Unemployment_Rate
1970-01-31,Anne Arundel,AA,,,,,,,,298.042,,
1970-02-28,Anne Arundel,AA,,,,,,,,298.042,,
1970-03-31,Anne Arundel,AA,,,,,,,,298.042,,
1970-04-30,Anne Arundel,AA,,,,,,,,298.042,,
1970-05-31,Anne Arundel,AA,,,,,,,,298.042,,
1970-06-30,Anne Arundel,AA,,,,,,,,298.042,,
1970-07-31,Anne Arundel,AA,,,,,,,,298.042,,
1970-08-31,Anne Arundel,AA,,,,,,,,298.042,,
1970-09-30,Anne Arundel,AA,,,,,,,,298.042,,
1970-10-31,Anne Arundel,AA,,,,,,,,298.042,,
1970-11-30,Anne Arundel,AA,,,,,,,,298.042,,
1970-12-31,Anne Arundel,AA,,,,,,,,298.042,,
1971-01-31,Anne Arundel,AA,,,,,,,,309.0,,
1971-02-28,Anne Arundel,AA,,,,,,,,309.0,,
1971-03-31,Anne Arundel,AA,,,,,,,,309.0,,
1971-04-30,Anne Arundel,AA,,,,,,,,309.0,,
1971-05-31,Anne Arundel,AA,,,,,,,,309.0,,
1971-06-30,Anne Arundel,AA,,,,,,,,309.0,,
1971-07-31,Anne Arundel,AA,,,,,,,,309.0,,
1971-08-31,Anne Arundel,AA,,,,,,,,309.0,,
1971-09-30,Anne Arundel,AA,,,,,,,,309.0,,
1971-10-31,Anne Arundel,AA,,,,,,,,309.0,,
1971-11-30,Anne Arundel,AA,,,,,,,,309.0,,
1971-12-31,Anne Arundel,AA,,,,,,,,309.0,,
1972-01-31,Anne Arundel,AA,,,,,,,,316.6,,
1972-02-29,Anne Arundel,AA,,,,,,,,316.6,,
1972-03-31,Anne Arundel,AA,,,,,,,,316.6,,
1972-04-30,Anne Arundel,AA,,,,,,,,316.6,,
1972-05-31,Anne Arundel,AA,,,,,,,,316.6,,
1972-06-30,Anne Arundel,AA,,,,,,,,316.6,,
1972-07-31,Anne Arundel,AA,,,,,,,,316.6,,
1972-08-31,Anne Arundel,AA,,,,,,,,316.6,,
1972-09-30,Anne Arundel,AA,,,,,,,,316.6,,
